ID	group	value	time	liking
135	1	deval	pre	4
135	1	val	pre	4
135	1	hunger	pre	6
135	1	deval	post	1
135	1	val	post	3
135	1	hunger	post	3
135	1	deval	afterExperiment	1
135	1	val	afterExperiment	4
135	1	hunger	afterExperiment	6
137	1	deval	pre	4
137	1	val	pre	3
137	1	hunger	pre	9
137	1	deval	post	-1
137	1	val	post	0
137	1	hunger	post	2
137	1	deval	afterExperiment	-1
137	1	val	afterExperiment	2
137	1	hunger	afterExperiment	3
138	1	deval	pre	4
138	1	val	pre	5
138	1	hunger	pre	7
138	1	deval	post	-1
138	1	val	post	0
138	1	hunger	post	2
138	1	deval	afterExperiment	-2
138	1	val	afterExperiment	-2
138	1	hunger	afterExperiment	4
139	1	deval	pre	5
139	1	val	pre	4
139	1	hunger	pre	9
139	1	deval	post	-5
139	1	val	post	2
139	1	hunger	post	2
139	1	deval	afterExperiment	-5
139	1	val	afterExperiment	2
139	1	hunger	afterExperiment	3
140	1	deval	pre	3
140	1	val	pre	2
140	1	hunger	pre	7
140	1	deval	post	-3
140	1	val	post	3
140	1	hunger	post	8
140	1	deval	afterExperiment	-4
140	1	val	afterExperiment	3
140	1	hunger	afterExperiment	6
141	1	deval	pre	5
141	1	val	pre	5
141	1	hunger	pre	10
141	1	deval	post	0
141	1	val	post	5
141	1	hunger	post	6
141	1	deval	afterExperiment	0
141	1	val	afterExperiment	5
141	1	hunger	afterExperiment	6
142	1	deval	pre	5
142	1	val	pre	5
142	1	hunger	pre	5
142	1	deval	post	-1
142	1	val	post	1
142	1	hunger	post	2
142	1	deval	afterExperiment	2
142	1	val	afterExperiment	3
142	1	hunger	afterExperiment	3
143	1	deval	pre	5
143	1	val	pre	3
143	1	hunger	pre	3
143	1	deval	post	-5
143	1	val	post	4
143	1	hunger	post	1
143	1	deval	afterExperiment	-5
143	1	val	afterExperiment	5
143	1	hunger	afterExperiment	10
144	1	deval	pre	5
144	1	val	pre	5
144	1	hunger	pre	10
144	1	deval	post	1
144	1	val	post	4
144	1	hunger	post	6
144	1	deval	afterExperiment	2
144	1	val	afterExperiment	5
144	1	hunger	afterExperiment	8
145	1	deval	pre	3
145	1	val	pre	5
145	1	hunger	pre	10
145	1	deval	post	-3
145	1	val	post	5
145	1	hunger	post	10
145	1	deval	afterExperiment	1
145	1	val	afterExperiment	5
145	1	hunger	afterExperiment	10
146	1	deval	pre	4
146	1	val	pre	4
146	1	hunger	pre	9
146	1	deval	post	4
146	1	val	post	3
146	1	hunger	post	4
146	1	deval	afterExperiment	5
146	1	val	afterExperiment	2
146	1	hunger	afterExperiment	6
147	1	deval	pre	-1
147	1	val	pre	2
147	1	hunger	pre	9
147	1	deval	post	-4
147	1	val	post	4
147	1	hunger	post	6
147	1	deval	afterExperiment	-4
147	1	val	afterExperiment	3
147	1	hunger	afterExperiment	7
148	1	deval	pre	5
148	1	val	pre	5
148	1	hunger	pre	9
148	1	deval	post	-5
148	1	val	post	1
148	1	hunger	post	1
148	1	deval	afterExperiment	-3
148	1	val	afterExperiment	0
148	1	hunger	afterExperiment	2
149	1	deval	pre	3
149	1	val	pre	4
149	1	hunger	pre	3
149	1	deval	post	-2
149	1	val	post	2
149	1	hunger	post	2
149	1	deval	afterExperiment	-1
149	1	val	afterExperiment	2
149	1	hunger	afterExperiment	3
150	1	deval	pre	4
150	1	val	pre	3
150	1	hunger	pre	8
150	1	deval	post	1
150	1	val	post	1
150	1	hunger	post	6
150	1	deval	afterExperiment	3
150	1	val	afterExperiment	3
150	1	hunger	afterExperiment	8
151	1	deval	pre	5
151	1	val	pre	5
151	1	hunger	pre	7
151	1	deval	post	-4
151	1	val	post	5
151	1	hunger	post	3
151	1	deval	afterExperiment	-4
151	1	val	afterExperiment	5
151	1	hunger	afterExperiment	2
152	1	deval	pre	5
152	1	val	pre	5
152	1	hunger	pre	10
152	1	deval	post	5
152	1	val	post	5
152	1	hunger	post	8
152	1	deval	afterExperiment	0
152	1	val	afterExperiment	2
152	1	hunger	afterExperiment	7
153	1	deval	pre	5
153	1	val	pre	4
153	1	hunger	pre	9
153	1	deval	post	1
153	1	val	post	4
153	1	hunger	post	4
153	1	deval	afterExperiment	1
153	1	val	afterExperiment	4
153	1	hunger	afterExperiment	4
154	1	deval	pre	3
154	1	val	pre	3
154	1	hunger	pre	8
154	1	deval	post	1
154	1	val	post	2
154	1	hunger	post	3
154	1	deval	afterExperiment	0
154	1	val	afterExperiment	1
154	1	hunger	afterExperiment	2
155	1	deval	pre	5
155	1	val	pre	5
155	1	hunger	pre	5
155	1	deval	post	1
155	1	val	post	4
155	1	hunger	post	6
155	1	deval	afterExperiment	0
155	1	val	afterExperiment	1
155	1	hunger	afterExperiment	5
156	1	deval	pre	5
156	1	val	pre	4
156	1	hunger	pre	9
156	1	deval	post	2
156	1	val	post	1
156	1	hunger	post	7
156	1	deval	afterExperiment	3
156	1	val	afterExperiment	-1
156	1	hunger	afterExperiment	6
157	1	deval	pre	4
157	1	val	pre	5
157	1	hunger	pre	8
157	1	deval	post	5
157	1	val	post	5
157	1	hunger	post	6
157	1	deval	afterExperiment	1
157	1	val	afterExperiment	5
157	1	hunger	afterExperiment	5
158	1	deval	pre	4
158	1	val	pre	3
158	1	hunger	pre	6
158	1	deval	post	-5
158	1	val	post	5
158	1	hunger	post	3
158	1	deval	afterExperiment	-3
158	1	val	afterExperiment	4
158	1	hunger	afterExperiment	3
159	1	deval	pre	5
159	1	val	pre	5
159	1	hunger	pre	7
159	1	deval	post	0
159	1	val	post	5
159	1	hunger	post	5
159	1	deval	afterExperiment	0
159	1	val	afterExperiment	3
159	1	hunger	afterExperiment	5
160	1	deval	pre	4
160	1	val	pre	4
160	1	hunger	pre	9
160	1	deval	post	2
160	1	val	post	4
160	1	hunger	post	3
160	1	deval	afterExperiment	2
160	1	val	afterExperiment	3
160	1	hunger	afterExperiment	4
161	1	deval	pre	5
161	1	val	pre	5
161	1	hunger	pre	8
161	1	deval	post	-3
161	1	val	post	4
161	1	hunger	post	6
161	1	deval	afterExperiment	3
161	1	val	afterExperiment	5
161	1	hunger	afterExperiment	7
162	1	deval	pre	4
162	1	val	pre	4
162	1	hunger	pre	6
162	1	deval	post	-5
162	1	val	post	-5
162	1	hunger	post	3
162	1	deval	afterExperiment	-4
162	1	val	afterExperiment	-1
162	1	hunger	afterExperiment	3
163	1	deval	pre	4
163	1	val	pre	5
163	1	hunger	pre	8
163	1	deval	post	-2
163	1	val	post	5
163	1	hunger	post	5
163	1	deval	afterExperiment	-4
163	1	val	afterExperiment	3
163	1	hunger	afterExperiment	6
164	1	deval	pre	3
164	1	val	pre	4
164	1	hunger	pre	9
164	1	deval	post	2
164	1	val	post	4
164	1	hunger	post	4
164	1	deval	afterExperiment	0
164	1	val	afterExperiment	1
164	1	hunger	afterExperiment	5
166	1	deval	pre	4
166	1	val	pre	2
166	1	hunger	pre	2
166	1	deval	post	-2
166	1	val	post	1
166	1	hunger	post	2
166	1	deval	afterExperiment	3
166	1	val	afterExperiment	0
166	1	hunger	afterExperiment	3
167	1	deval	pre	3
167	1	val	pre	4
167	1	hunger	pre	4
167	1	deval	post	1
167	1	val	post	3
167	1	hunger	post	6
167	1	deval	afterExperiment	2
167	1	val	afterExperiment	4
167	1	hunger	afterExperiment	5
168	1	deval	pre	3
168	1	val	pre	4
168	1	hunger	pre	8
168	1	deval	post	-5
168	1	val	post	4
168	1	hunger	post	4
168	1	deval	afterExperiment	1
168	1	val	afterExperiment	4
168	1	hunger	afterExperiment	5
169	1	deval	pre	4
169	1	val	pre	5
169	1	hunger	pre	3
169	1	deval	post	-3
169	1	val	post	4
